iter	Logloss
0	0.6877414578
1	0.6808782445
2	0.6745765323
3	0.6698804024
4	0.6635600219
5	0.658768315
6	0.6548251756
7	0.6502797333
8	0.6463668879
9	0.6417922135
10	0.6381445804
11	0.6339239323
12	0.6281533713
13	0.6232182988
14	0.6175190573
15	0.6127302009
16	0.6095125527
17	0.6053954184
18	0.602211809
19	0.600762224
20	0.5977355063
21	0.5945142809
22	0.592288957
23	0.5883973509
24	0.5855795612
25	0.5829607506
26	0.5806982019
27	0.5761151995
28	0.575095823
29	0.5718519609
30	0.5703413967
31	0.5666489933
32	0.5647308014
33	0.5639320346
34	0.5602827247
35	0.5586079468
36	0.5576052264
37	0.5532862066
38	0.5524534009
39	0.5496627193
40	0.5471834176
41	0.5462578295
42	0.5456177429
43	0.5442946438
44	0.5413427108
45	0.5403840341
46	0.5374244997
47	0.5363832131
48	0.533600636
49	0.5312483791
50	0.5296143472
51	0.5286102295
52	0.5273640951
53	0.5259628575
54	0.5248215225
55	0.5222057301
56	0.520487691
57	0.518954546
58	0.517998608
59	0.5163398156
60	0.5156888298
61	0.5149837955
62	0.5133104709
63	0.5114734915
64	0.51045255
65	0.5095196399
66	0.5077608549
67	0.5071615701
68	0.5063897996
69	0.50496559
70	0.5032377697
71	0.5028334398
72	0.5014642848
73	0.5009822636
74	0.4997385325
75	0.4988968399
76	0.4966512268
77	0.4955444895
78	0.4951010903
79	0.4945409307
80	0.4926014436
81	0.4920692304
82	0.4911553799
83	0.4897990803
84	0.4894398001
85	0.4879598652
86	0.4870101314
87	0.4846593836
88	0.4840235448
89	0.4833683671
90	0.4826461177
91	0.4820697491
92	0.4804848472
93	0.4796593076
94	0.4777512882
95	0.4770112649
96	0.4755186423
97	0.473891653
98	0.4732666016
99	0.4724852174
100	0.4716760545
101	0.4711485922
102	0.4707739973
103	0.4701123919
104	0.4694712433
105	0.4688716232
106	0.4685155009
107	0.467282669
108	0.4664347443
109	0.4660412296
110	0.4645220299
111	0.4630548945
112	0.4621189662
113	0.4615225879
114	0.4612031874
115	0.4607074165
116	0.4602097731
117	0.4596006512
118	0.4590066763
119	0.4585919782
120	0.4578558953
121	0.4565109421
122	0.4560655028
123	0.4555705703
124	0.4549489563
125	0.4534501855
126	0.4528175047
127	0.4524146
128	0.451137417
129	0.4506583022
130	0.4501377986
131	0.449749985
132	0.4492742238
133	0.4488549425
134	0.4482188242
135	0.4478261759
136	0.4472224477
137	0.4462289216
138	0.4458840898
139	0.4448799161
140	0.4434585851
141	0.4421659477
142	0.4417095813
143	0.4412325625
144	0.4408495278
145	0.4402516403
146	0.4397579934
147	0.4392273452
148	0.4387207031
149	0.4384598505
150	0.4372598557
151	0.4367250436
152	0.4364090804
153	0.4362370418
154	0.4356062054
155	0.4352471208
156	0.4345922226
157	0.4335562179
158	0.4330168225
159	0.4320051591
160	0.4315751184
161	0.4311691396
162	0.4306792933
163	0.4304157858
164	0.4302119161
165	0.4291172796
166	0.4286807553
167	0.4280892956
168	0.4274832757
169	0.42720627
170	0.4269834246
171	0.4260472448
172	0.42544483
173	0.4249645415
174	0.424634158
175	0.4241367103
176	0.4238256657
177	0.4236195044
178	0.4227438008
179	0.4222829071
180	0.4218788566
181	0.4216673575
182	0.4204751598
183	0.4201455308
184	0.419702467
185	0.4193168892
186	0.4187836141
187	0.4181988615
188	0.4177854769
189	0.4170418764
190	0.4166012998
191	0.4163811093
192	0.4159451998
193	0.4154147473
194	0.4151927962
